Angle, Time, Shield_Angle
179,25; 1,15058; 25
140,79; 1,01311; 25
52,98; 1,20202; 25
91,47; 1,54939; 25
166,15; 1,28833; 25
155,69; 1,06983; 25
156,16; 1,38046; 25
156,65; 1,12497; 25
179,16; 0,98019; 25
11,73; 0,73238; 25
176,09; 1,13084; 20
160,03; 0,99208; 20
6,24; 1,11980; 20
116,18; 0,78352; 20
127,35; 1,69952; 20
56,31; 1,41148; 20
139,05; 1,49385; 20
174,46; 1,31776; 20
42,89; 0,74789; 20
76,95; 1,14778; 20
163,19; 1,46318; 20
162,26; 0,97775; 20
170,63; 1,23459; 20
170,69; 1,25539; 20
143,71; 0,82237; 20
165,04; 1,18929; 45
162,12; 1,00372; 45
57,73; 0,82008; 45
174,96; 1,44025; 45
37,21; 0,75298; 45
169,41; 1,03755; 45
83,37; 1,24468; 45
54,93; 0,88060; 45
67,59; 0,63823; 45
71,92; 0,54124; 45
115,97; 1,22919; 45
81,80; 0,67254; 45
84,80; 0,67082; 45
159,75; 1,34185; 45
160,85; 0,93331; 45
